,3G,4G,Additional Features,Audio Jack,Bluetooth,Brand,Business Features,Call Features,Call Memory,Charging Point,Color,EDGE,Expandable Memory,FM,Flash,Form,Front Facing Camera,GPRS,Graphics,HD Recording,Handset Color,Important Apps,In the Box,Internal,Internet Features,Memory,Model ID,Model Name,Music Player,NFC,Navigation Technology,OS,Operating Freq,Other Camera Features,Other Display Features,Phone Book Memory,Preinstalled Browser,Processor,Rear Camera,Removable Battery,Resolution,Ringtone,SAR Value,SIM Size,SIM Type,SMS Memory,Sensors,Size,Sound Enhancement,Standby Time,Talk Time,Tethering,Touch Screen,Type,USB Connectivity,User Interface,User Memory,Video Calling,Video Player,Video Recording,Warranty Summary,Weight,Wifi,Zoom
MOBDSGU2YZEWAVZP,"Yes, HSPA+",,"CrystalTalk, Water-repellent Coating, Miracast Wireless Display, Mixed Usage Time: 24 hrs, Notifications Appear on the Screen, Dimension - Curve: 5.7 - 10.4 mm, Voice Input",3.5 mm,"Yes, v4, Supported Profiles (EDR, HID, SPP, A2DP, LE, AVRCP 1.3, FTP, OBEX / OPP, PBAP, HFP 1.6, PAN, HSP, BPP, MAP)",Motorola,,Loudspeaker,Yes,,,Yes,,,LED,Bar,"Yes, 2 MP",Yes,"Adreno 320, Quad Core Processor","HD, Full HD",White,None,"Handset with Inbuilt Battery, Headset, Charger with USB Cable",16 GB,Email,2 GB RAM,XT1052,Moto X,"Yes, Supports AAC+ Enhanced, PCM, AAC, MP3, v10), WAV, AAC+, AMR WB, v7, WMA (v2, QCELP, MIDI, FLAC, EVRC, AMR NB, v8, v9, OGG / Vorbis",Yes,"aGPS (Assisted), A-GPS (Autonomous), sGPS (Simultaneous), Standalone GPS, GLONASS, with Google Maps",Android v4.4 (KitKat),"GSM - 850, 900, 1800, 1900; UMTS - 2100",None,"Active Display, RGB Support, Corning Gorilla Glass",Yes,Android,None,"Yes, 10 MP",,"HD, 1280 x 720 Pixels",,,Nano SIM,"Single Sim, GSM",Yes,"Gyroscope, eCompass, Accelerometer, Ambient Light Sensor, Proximity Sensor",65.3x129.4,,,13 hrs (2G),Wi-fi Hotspot,Yes,2200 mAh,Yes,,,,"Yes, Supports MPEG-4, H.264, H.263, VC-1, VP8, Full HD","Yes, 1920 x 1080",1 year manufacturer warranty for Phone and for in the box accessories,130 g,"Yes, 802.11 a/g/b/n/ac",
MOBDTH3D7QZW6QF7,"Yes, HSPA+",,"CrystalTalk, Water-repellent Coating, Miracast Wireless Display, Mixed Usage Time: 24 hrs, Notifications Appear on the Screen, Dimension - Curve: 5.7 - 10.4 mm, Voice Input",3.5 mm,"Yes, v4, Supported Profiles (LE, EDR, HSP, SPP, FTP, MAP, A2DP, BPP, AVRCP 1.3, OBEX / OPP, PBAP, PAN, HFP 1.6, HID)",Motorola,,Loudspeaker,Yes,,,Yes,,,LED,Bar,"Yes, 2 MP",Yes,"Adreno 320, Quad Core Processor","HD, Full HD",Black/Blue,None,"Handset with Inbuilt Battery, Charger with USB Cable, Headset",16 GB,Email,2 GB RAM,XT1052,Moto X,"Yes, Supports AAC, AAC+, AMR NB, AMR WB, MIDI, v8, v9, QCELP, EVRC, PCM, WMA (v2, OGG / Vorbis, WAV, AAC+ Enhanced, FLAC, v7, MP3, v10)",Yes,"aGPS (Assisted), A-GPS (Autonomous), sGPS (Simultaneous), Standalone GPS, GLONASS, with Google Maps",Android v4.4 (KitKat),"GSM - 850, 900, 1800, 1900; UMTS - 2100",None,"RGB Support, Active Display, Corning Gorilla Glass",Yes,Android,None,"Yes, 10 MP",,"HD, 1280 x 720 Pixels",,,Nano SIM,"Single Sim, GSM",Yes,"Accelerometer, Proximity Sensor, Gyroscope, eCompass, Ambient Light Sensor",4.7 inch,,,13 hrs (2G),Wi-fi Hotspot,Yes,2200 mAh,Yes,,,,"Yes, Supports H.263, VP8, VC-1, H.264, MPEG-4, Full HD","Yes, 1920 x 1080",1 year manufacturer warranty for Phone and for in the box accessories,130 g,"Yes, 802.11 a/g/b/n/ac",
MOBDYGZ6SHNB7RFC,"Yes, 21.1 Mbps HSDPA; 5.76 Mbps HSUPA",,"MMS Enabled, Alerts (Silent, Polyphonic Ring, Vibrate, Notification LED), POP Email",3.5 mm,"Yes, v4, Supported Profiles (HSP, OPP, HFP, BIP, LE, A2DP, HID, AVRCP, SPP, PBAP, EDR, FTP)",Motorola,,Loudspeaker,Yes,,,"Yes, Class 12","microSD, upto 32 GB",Yes,LED,Bar,"Yes, 2 MP",Yes,"Adreno 305, 450 MHz Single Core",HD,Black,"Gmail, Hangouts","Battery Door, User Manual, Headset, Handset with Inbuilt Battery, Charger",16 GB,Email,1 GB RAM,XT1068,Moto G (2nd Generation),"Yes, Supports AAC, eAAC+, AMR-WB, AMR-NB, AAC+, MP3, WAV, MIDI",,"A-GPS, aGPS, Standalone GPS, sGPS, GLONASS, with Google Maps","Android v4.4.4 (KitKat), Upgradable to v5.0 (Lollipop)(OTA Upgrade)","GSM - 850, 900, 1800, 1900; UMTS - 2100","Auto Focus, Slow Motion Video, Burst Mode, Auto HDR, Panorama, Tap to Focus",Corning Gorilla Glass 3,Yes,Android,"1.2 GHz + Qualcomm Snapdragon 400, Quad Core","Yes, 8 MP",,"HD, 720 x 1280 Pixels",,"At the Head 1.52 W/Kg, At the Body 0.894 W/Kg",Micro SIM,"Dual Sim, GSM + GSM",Yes,"eCompass, Hall Effect Sensor, Accelerometer, Magnetometer, Proximity Sensor, Gyroscope, Ambient Light Sensor",5 inch,,,,Wi-fi Hotspot,Yes,2070 mAh,"Yes, micro USB, v2",,,,"Yes, Supports H.263, H.264, MPEG4, HD","Yes, 720 x 1280, 30 fps",1 year manufacturer warranty for Phone and for in the box accessories,149 g,"Yes, 802.11 b/g/n",Digital Zoom - 4x
MOBDYZUSXMT2TDHF,"Yes, 21.1 Mbps HSDPA; 5.76 Mbps HSUPA",,"MMS Enabled, Alerts (Silent, Polyphonic Ring, Vibrate, Notification LED), POP Email",3.5 mm,"Yes, v4, Supported Profiles (HSP, A2DP, AVRCP, HID, FTP, OPP, HFP, LE, EDR, SPP, PBAP, BIP)",Motorola,,Loudspeaker,Yes,,,"Yes, Class 12","microSD, upto 32 GB",Yes,LED,Bar,"Yes, 2 MP",Yes,"Adreno 305, 450 MHz Single Core",HD,White,"Gmail, Hangouts","User Manual, Headset, Battery Door, Handset with Inbuilt Battery, Charger",16 GB,Email,1 GB RAM,XT1068,Moto G (2nd Generation),"Yes, Supports WAV, MP3, eAAC+, AMR-NB, MIDI, AAC+, AMR-WB, AAC",,"A-GPS, aGPS, Standalone GPS, sGPS, GLONASS, with Google Maps","Android v4.4.4 (KitKat), Upgradable to v5.0 (Lollipop)(OTA Upgrade)","GSM - 850, 900, 1800, 1900; UMTS - 2100","Auto Focus, Slow Motion Video, Burst Mode, Auto HDR, Panorama, Tap to Focus",Corning Gorilla Glass 3,Yes,Android,"1.2 GHz + Qualcomm Snapdragon 400, Quad Core","Yes, 8 MP",,"HD, 720 x 1280 Pixels",,"At the Head 1.52 W/Kg, At the Body 0.894 W/Kg",Micro SIM,"Dual Sim, GSM + GSM",Yes,"eCompass, Magnetometer, Proximity Sensor, Hall Effect Sensor, Accelerometer, Gyroscope, Ambient Light Sensor",5 inch,,,,Wi-fi Hotspot,Yes,2070 mAh,"Yes, micro USB, v2",,,,"Yes, Supports MPEG4, H.263, H.264, HD","Yes, 720 x 1280, 30 fps",1 year manufacturer warranty for Phone and for in the box accessories,149 g,"Yes, 802.11 b/g/n",Digital Zoom - 4x
MOBDZ3FVPC3PYHPE,Yes,Yes,"Integrated Handsfree, Mode Vibrator, Calendar Function, Alarm Watch Function, Vibration Alarm, Stopwatch, Lock Terminal, DTMF Support, Clock, Date, Wi-Fi Direct, Wi-Fi Security, Voice Recorder, Wi-Fi Hotspot: Maximum Number of Connections 8, Missed Call and SMS Reminder, Voice Input",3.5 mm,"Yes, v4, Supported Profiles (LE)",Motorola,"Document Viewer, Document Editor",Loudspeaker,Yes,,16 M,Yes,,No,Dual LED,Bar,"Yes, 2 MP",Yes,Adreno 330,HD,White Turquoise,"Moto Connect, Moto Migrate","Headset, Handset with Inbuilt Battery, User Manual, Charger",16 GB,Email,2 GB RAM,XT1092,Moto X (2nd Generation),"Yes, Supports MP3",Yes,with Google Maps,"Android v4.4.4 (KitKat), Upgradable to v5.0 (Lollipop)(OTA Upgrade)","GSM - 850, 900, 1800, 1900; UMTS - 2100; 4G LTE - Band 1, 3, 7, 20","F2.25, Dual LED Ring Flash","Corning Gorilla Glass 3, Date and Time Visualization, Dual Touch Capacitive Touchscreen Technology, Automatic Image Rotation",Yes,Android,"2.5 GHz + Qualcomm Snapdragon 801 MSM8974-AC, Quad Core","Yes, 13 MP",,"Full HD, 1920 x 1080 Pixels",MP3,"At the Head 0.726 W/Kg, At the Body 1.28 W/Kg",Nano SIM,"Single Sim, GSM",Yes,"Compass, Gyroscope, Accelerometer, Proximity Sensor",72.4x140.8x9.97 mm,,,,Wi-fi Hotspot,"Yes, Capacitive","Li-Ion, 2300 mAh",Yes,,10 GB,,"Yes, HD",Yes,1 year manufacturer warranty for Phone and for in the box accessories,144 g,"Yes, 802.11 a/ac/b/g/n",
MOBDZM5TMHQHGWDD,Yes,,"Wi-Fi Direct, Browser: HTML5",,"Yes, v4, Supported Profiles (A2DP)",Honor,,Loudspeaker,Yes,,,,"microSD, upto 64 GB",,,Bar,"Yes, 5 MP",,,,White,,"Warranty Card, Back Film, Travel Charger, User Manual, Screen Guard, Data Cable, Handset",16 GB,Email,"3 GB RAM, 16 GB ROM",H60-L04,6,"Yes, Supports MP3",,"A-GPS, GLONASS",Android v4.4 (KitKat),"GSM - 900, 1800; UMTS 2100; LTE (FDD)- Band 1, Band 3, Band 7, Band 20, LTE (TDD) - Band 38",,"445 PPI, JDI In-cell Display",Yes,Android,"1.7 GHz + Kirin 920, Octa Core","Yes, 13 MP",,"Full HD, 1920 x 1080 Pixels",,"At the Head - 0.568 W/Kg, At the Body - 1.070 W/Kg",Micro SIM,"Single Sim, GSM",Yes,"Light Sensor, G-Sensor, Gyroscope, Compass",69.7x139.6x7.5 mm,,,,Wi-fi Hotspot,Yes,3000 mAh,,Emotion UI 2.3,,,Yes,,1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,130 g,Yes,
MOBE4G2SKSQJSPGJ,Yes,,"Virtual QWERTY Keyboard, WLAN Support, Wi-Fi Tethering",3.5 mm,"Yes, v4, Supported Profiles (LE)",Mi,"Document Viewer, eBook",Loudspeaker,Yes,,,Yes,,Yes,LED,Bar,"Yes, 8 MP",Yes,Adreno 330,"HD, Full HD",White,,"Handset, Charger, USB Cable, User Guide",64 GB,Email,"3 GB RAM, 64 GB ROM",MZB4240IN,Mi 4,"Yes, Supports FLAC, AAC +, AMR - WB, MP3, eAAC+, APE, PCM, WMA - V10, AAC, AMR - NB, WMA - V9",,"A-GPS, GLONASS, Beidou, with Google Maps",Android v4.4.4 (KitKat),"GSM - 850, 900, 1800, 1900; WCDMA - 2100","BSI Sony Exmor RS, f/1.8 Aperture, ISO, White Balance, Focus Mode, Focus Area, Automatic Supported, Scene Mode, 28 mm Wide-angle, Capture: 30 Frames per second, Zero Shutter Lag, Face Recognition, High Dynamic Range (HDR), Real-time Filters","IPS Display (Sharp / JDI High Color Saturation Display), Multi-touch, OGS",Yes,MIUI,"2.5 GHz + Qualcomm MSM8274AC Snapdragon 801 Krait 400, Quad Core","Yes, 13 MP",,"Full HD, 1920 x 1080 Pixels",,1.360 W/Kg,,"Single Sim, GSM",Yes,"Gyroscope, Proximity Sensor, Barometer, Infrared, Light Sensor, Electronic Compass, Accelerometer",68.5x139.2x8.9 mm,Dual Mic Noise Reduction,280 hrs (2G),,"USB, Wi-fi Hotspot",Yes,"Li-Polymer, 3080 mAh",Yes,,59.4 GB,,"Yes, Supports VidX, ASF, MP4, XviD, M4V, WMV, H.264, MKV, HD, Full HD, 4K - Ultra HD","Yes, 3840 x 2160",1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,149 g,"Yes, 802.11 a/b/g/n/ac",
MOBE5TZ9BYDYSUBF,"Yes, 21 Mbps HSDPA; 5.76 Mbps HSUPA",,"Wi-Fi Direct, 46 Languages Support, MMS Enabled, File Manager, Calender, Notes, Themes, Calculator, Flash Light, Video, Backup, Weather, Clock, Sound Recorder",3.5 mm,"Yes, v4, Supported Profiles (LE)",Honor,Pushmail  (Exchange),Loudspeaker,Yes,,16 M,"Yes, Class 12","microSD, upto 32 GB",Yes,Dual LED,Bar,"Yes, 2 MP","Yes, Class 12",Dual Core Mali-400,"HD, Full HD",Black,"POP3, IMAP, HOTA Online Update, Gmail, ContactSync, CalendarSync, Hangouts, Talk, Drive, Google+, Maps, Street View, YouTube, GooglePlayStore, GooglePlayGames, GooglePlayBooks, GooglePlayMovies, GooglePlayNewsStand, GooglePlayMusic, Widevine, Configure Updater, Setup Wizard","Warranty Card, USB Cable, Quick Start Guide, Handset, Battery, Charger",8 GB,Email,"1 GB RAM, 8 ROM",Y541-U02,Bee,"Yes, Supports MP3, AMR, WAV, MP3, MP2, AMR, MIDI, Vorbis, AAC, AAC+, FLAC, OGG, MID",,"A-GPS, with Google Maps",Android v4.4 (KitKat),"GSM - 850, 900, 1800, 1900; UMTS - 2100","Auto Focus, CMOS Sensor, Snap Capture in Black Screen, Panorama, Touch to Capture, Burst Shoot","Twisted Nematic, 2 Point Multi-touch",Yes,"Android, Chrome","1.2 GHz + Spreadtrum SC7731 Cortex-A7, Quad Core","Yes, 8 MP",Yes,"Others, 854 x 480 Pixels",,0.434 W/kg,Micro SIM,"Dual Sim, GSM + UMTS",Yes,"G-Sensor, L-Sensor, P-Sensor",4.5 inch,,"280 hrs (2G), 220 hrs (3G)","6 hrs (2G), 7 hrs (3G)","USB, Wi-fi Hotspot","Yes, Capacitive",1730 mAh,"Yes, micro USB, v2",Huawei EMUI 3.0 Lite,5.14 GB,,"Yes, Supports MP4, H.264, H.263, DivX, XviD, MKV, WEBM, 3GP, Full HD","Yes, 1920 x 1080",1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,,"Yes, 802.11 b/g/n",
MOBE6KK93JG5WKB2,"Yes, HSPA+",Yes,Error Obtaining String Value From Flipkart Page,3.5 mm,"Yes, v4, Supported Profiles (LE)",Motorola,,"Conference Call, Hands Free, Loudspeaker, Call Timer, Call Divert",Yes,,,Yes,"microSD, upto 32 GB",Yes,Dynamic CCT Dual LED,Bar,"Yes, 5 MP",Yes,"Adreno 306, 400 MHz, 294 PPI, HD Game Support","HD, Full HD",Black,,"Handset, Headset, Wall Charger, USB Data Cable, Guides",16 GB,Email,"2 GB RAM, 16 GB ROM",XT 1550,Moto G (3rd Generation),"Yes, Supports MP3",,"GPS, A-GPS, GLONASS, BeiDou, with Google Maps",Android v5.1.1 (Lollipop),Error Obtaining String Value From Flipkart Page,None,Corning Gorilla Glass 3,Yes,Android,"1.4 GHz + Qualcomm Snapdragon 410 MSM8916, Quad Core","Yes, 13 MP",No,"HD, 1280 x 720 Pixels",,Error Obtaining String Value From Flipkart Page,Micro SIM,"Dual Sim, GSM + LTE",Yes,"Accelerometer, Ambient Light Sensor, Proximity Sensor, Sensor Hub",72.4x142.1,2-mic Support,,,"USB, Wi-fi Hotspot",Yes,2470 mAh,"Yes, micro USB, v2",,9.1,Yes,"Yes, Supports MPEG4, H.264, Full HD","Yes, 1920 x 1080, 30 fps",1 year manufacturer warranty for Phone and for in the box accessories,155 g,"Yes, 802.11 b/g/n",Error Obtaining String Value From Flipkart Page
MOBE6KK9YZJBYGUC,"Yes, HSPA+",Yes,Error Obtaining String Value From Flipkart Page,3.5 mm,"Yes, v4, Supported Profiles (LE)",Motorola,,"Conference Call, Hands Free, Loudspeaker, Call Timer, Call Divert",Yes,,,Yes,"microSD, upto 32 GB",Yes,Dynamic CCT Dual LED,Bar,"Yes, 5 MP",Yes,"Adreno 306, 400 MHz, 294 PPI, HD Game Support","HD, Full HD",White,,"Handset, Headset, Wall Charger, USB Data Cable, Guides",16 GB,Email,"2 GB RAM, 16 GB ROM",XT 1550,Moto G (3rd Generation),"Yes, Supports MP3",,"GPS, A-GPS, GLONASS, BeiDou, with Google Maps",Android v5.1.1 (Lollipop),Error Obtaining String Value From Flipkart Page,None,Corning Gorilla Glass 3,Yes,Android,"1.4 GHz + Qualcomm Snapdragon 410 MSM8916, Quad Core","Yes, 13 MP",No,"HD, 1280 x 720 Pixels",,Error Obtaining String Value From Flipkart Page,Micro SIM,"Dual Sim, GSM + LTE",Yes,"Accelerometer, Ambient Light Sensor, Proximity Sensor, Sensor Hub",72.4x142.1,2-mic Support,,,"USB, Wi-fi Hotspot",Yes,2470 mAh,"Yes, micro USB, v2",,9.1,Yes,"Yes, Supports MPEG4, H.264, Full HD","Yes, 1920 x 1080, 30 fps",1 year manufacturer warranty for Phone and for in the box accessories,155 g,"Yes, 802.11 b/g/n",Error Obtaining String Value From Flipkart Page
MOBE7JXXKS6PWW2C,"Yes, 42 Mbps HSDPA; 23 Mbps HSUPA",Yes,Vibrator Mode,3.5 mm,"Yes, v4",Lenovo,,,Yes,,16 M,Yes,"microSD, upto 32 GB",Yes,Yes,Bar,"Yes, 2 MP",Yes,Adreno 306; 400 MHz Speed,HD,Red,"Vibe UI 2.0, Lenovo DoIT Apps","Battery, Handset, USB Cable, 2 Pin Wall Charger",16 GB,Email,"2 GB RAM, 16 GB ROM",P0SB004BIN/P0SB004EIN/P0SB0010IN,A6000 Plus,,,"A-GPS, with Google Maps",Android v4.4.4 (KitKat),"GSM - 850, 900, 1800, 1900; UMTS - 2100; LTE (FDD) - Band 1, 3, 7, 20 (2600), LTE (TDD) - Band 40 (2300)",Auto Focus,5-point Multi-touch Display,Yes,Google Chrome,"1.2 GHz + Qualcomm Snapdragon MSM8916, Quad Core","Yes, 8 MP",Yes,"HD, 1280 x 720 Pixels",,"At the Head - 0.939 W/Kg, At the Body 0.822 W/Kg",Micro SIM,"Dual Sim, GSM LTE",Yes,"Proximity Sensor, Gravitation Sensor, Light Sensor",70x141x8.2 mm,"2 x Speakers, Dolby Digital Plus","264 hrs (2G), 264 hrs (3G)","22 hrs (2G), 13 hrs (3G)",Wi-fi Hotspot,"Yes, Capacitive","Li-Ion, 2300 mAh","Yes, micro USB, v2",,,,"Supports MPEG4, 3GP, AVI, WebM","Yes, 1280 x 720",1 year manufacturer warranty for Phone and 6 months warranty for in the box accessories,128 g,"Yes, 802.11 b/g/n",Yes
